Q1.1, http://ceur-ws.org/Vol-1006/paper2.pdf
Q1.2, http://ceur-ws.org/Vol-1044/paper-01.pdf
Q1.3, http://ceur-ws.org/Vol-1116/paper1.pdf
Q1.4, http://ceur-ws.org/Vol-1116/paper6.pdf
Q1.5, http://ceur-ws.org/Vol-1184/ldow2014_paper_02.pdf
Q1.6, http://ceur-ws.org/Vol-1215/paper-05.pdf
Q1.7, http://ceur-ws.org/Vol-1303/paper_4.pdf
Q1.8, http://ceur-ws.org/Vol-1313/paper_11.pdf
Q1.9, http://ceur-ws.org/Vol-1313/paper_13.pdf
Q1.10, http://ceur-ws.org/Vol-1313/paper_14.pdf
Q1.11, http://ceur-ws.org/Vol-1313/paper_4.pdf
Q1.12, http://ceur-ws.org/Vol-1315/paper15.pdf
Q1.13, http://ceur-ws.org/Vol-1315/paper3.pdf
Q1.14, http://ceur-ws.org/Vol-1315/paper8.pdf
Q1.15, http://ceur-ws.org/Vol-1317/om2014_Tpaper5.pdf
Q1.16, http://ceur-ws.org/Vol-1317/om2014_poster3.pdf
Q1.17, http://ceur-ws.org/Vol-1317/om2014_poster4.pdf
Q1.18, http://ceur-ws.org/Vol-1317/om2014_poster8.pdf
Q1.19, http://ceur-ws.org/Vol-1319/morse14_paper_04.pdf
Q1.20, http://ceur-ws.org/Vol-1320/paper_25.pdf
Q1.21, http://ceur-ws.org/Vol-1405/paper-02.pdf
Q1.22, http://ceur-ws.org/Vol-1405/paper-03.pdf
Q1.23, http://ceur-ws.org/Vol-1405/paper-04.pdf
Q1.24, http://ceur-ws.org/Vol-1405/paper-07.pdf
Q1.25, http://ceur-ws.org/Vol-1504/uai2015aci_abstract2.pdf
Q1.26, http://ceur-ws.org/Vol-1531/paper2.pdf
Q1.27, http://ceur-ws.org/Vol-1531/paper4.pdf
Q1.28, http://ceur-ws.org/Vol-1531/paper8.pdf
Q1.29, http://ceur-ws.org/Vol-1554/PD_MoDELS_2015_paper_3.pdf
Q1.30, http://ceur-ws.org/Vol-1554/PD_MoDELS_2015_paper_5.pdf
Q1.31, http://ceur-ws.org/Vol-1554/PD_MoDELS_2015_paper_6.pdf
Q1.32, http://ceur-ws.org/Vol-1558/paper5.pdf
