Q1.1, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1006/paper2.pdf, AffiliationEntry
Q1.2, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1313/paper_14.pdf, AffiliationEntry
Q1.3, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1531/paper8.pdf, AffiliationEntry
Q1.4, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_02.pdf, AffiliationEntry
Q1.5, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1405/paper-02.pdf, AffiliationEntry
Q1.6, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1500/paper3.pdf, AffiliationEntry
Q1.7, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1315/paper15.pdf, AffiliationEntry
Q1.8, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1320/paper_25.pdf, AffiliationEntry
Q1.9, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1116/paper8.pdf, AffiliationEntry
Q1.10, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1123/paper4.pdf, AffiliationEntry
Q1.11, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1123/paper5.pdf, AffiliationEntry
Q1.12, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1746/paper-13.pdf, AffiliationEntry
Q1.13, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1522/Badreddin2015HuFaMo.pdf, AffiliationEntry
Q1.14, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1503/01_pap_batot.pdf, AffiliationEntry
Q1.15, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1324/paper_4.pdf, AffiliationEntry
Q1.16, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1324/paper_10.pdf, AffiliationEntry
Q1.17, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1771/paper3.pdf, AffiliationEntry
Q1.18, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1771/paper13.pdf, AffiliationEntry
Q1.19, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1758/paper3.pdf, AffiliationEntry
Q1.20, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1749/paper_008.pdf, AffiliationEntry
Q1.21, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1116/paper6.pdf, AffiliationEntry
Q1.22, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1116/paper7.pdf, AffiliationEntry
Q1.23, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_05.pdf, AffiliationEntry
Q1.24, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1405/paper-06.pdf, AffiliationEntry
Q1.25, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1746/paper-11.pdf, AffiliationEntry
Q1.26, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1749/paper_006.pdf, AffiliationEntry
Q1.27, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1758/paper1.pdf, AffiliationEntry
Q1.28, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_12.pdf, AffiliationEntry
Q1.29, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_15.pdf, AffiliationEntry
Q1.30, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1751/AICS_2016_paper_30.pdf, AffiliationEntry
Q1.31, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1755/79-84.pdf, AffiliationEntry
