section-iri, section-number, section-title
<http://ceur-ws.org/section/vol-1405-paper-03_sec1>, "1"^^xsd:integer, "INTRODUCTION"
<http://ceur-ws.org/section/vol-1405-paper-03_sec2>, "2"^^xsd:integer, "RELATED WORK"
<http://ceur-ws.org/section/vol-1405-paper-03_sec3>, "3"^^xsd:integer, "DATASET"
<http://ceur-ws.org/section/vol-1405-paper-03_sec4>, "4"^^xsd:integer, "PARTITIONING APPROACHES"
<http://ceur-ws.org/section/vol-1405-paper-03_sec5>, "5"^^xsd:integer, "BUILDING RECOMMENDATIONS"
<http://ceur-ws.org/section/vol-1405-paper-03_sec6>, "6"^^xsd:integer, "EVALUATION"
<http://ceur-ws.org/section/vol-1405-paper-03_sec7>, "7"^^xsd:integer, "NEW USER COLD START EVALUATION"
<http://ceur-ws.org/section/vol-1405-paper-03_sec8>, "8"^^xsd:integer, "DISCUSSION"
<http://ceur-ws.org/section/vol-1405-paper-03_sec9>, "9"^^xsd:integer, "LIMITATIONS"
<http://ceur-ws.org/section/vol-1405-paper-03_sec10>, "10"^^xsd:integer, "FUTURE WORK"
<http://ceur-ws.org/section/vol-1405-paper-03_sec11>, "11"^^xsd:integer, "CONCLUSION"
<http://ceur-ws.org/section/vol-1405-paper-03_sec12>, "12"^^xsd:integer, "NOTES"
<http://ceur-ws.org/section/vol-1405-paper-03_sec13>, "13"^^xsd:integer, "ACKNOWLEDGMENTS"
<http://ceur-ws.org/section/vol-1405-paper-03_sec14>, "14"^^xsd:integer, "REFERENCES"
