footnote-iri, footnote-marker, footnote-body, sentence-with-footnote
<http://ceur-ws.org/footnote/vol-1749-paper_006_footnote1>, "1", "http://www.nactem.ac.uk/tsujii/GENIA/SharedTask/", "the BioNLP 2009 Task 3 ****** and BioNLP 2011 Shared Task aimed at recognizing if biomolecular events were affected by speculation or negation;"
<http://ceur-ws.org/footnote/vol-1749-paper_006_footnote2>, "2", "http://2011.bionlp-st.org", "the BioNLP 2009 Task 3 and BioNLP 2011 Shared ****** Task aimed at recognizing if biomolecular events were affected by speculation or negation;"
<http://ceur-ws.org/footnote/vol-1749-paper_006_footnote3>, "3", "http://rgai.inf.u-szeged.hu/index.php?lang=en&page=conll2010st", "the CoNLL 2010 Share Task ****** focused on hedge detection, i.e. identify speculated events, in biomedical texts;"
<http://ceur-ws.org/footnote/vol-1749-paper_006_footnote4>, "4", "http://itl.nist.gov/iad/mig/tests/ace/", "the ACE Event Detection and Recognition tasks ****** required systems to distinguish between asserted and non-asserted (e.g. hypothetical, desired, and promised) extracted events in news articles;"
<http://ceur-ws.org/footnote/vol-1749-paper_006_footnote5>, "5", "http://ixa2.si.ehu.es/starsem/index.php\%3Foption=com_content&view=article&id=52&Itemid=60.html", "the 2012 *SEM Shared Task on Resolving The Scope of Negation ****** focused one of its substasks on the identification of negated, i.e. counterfactual, events;"
<http://ceur-ws.org/footnote/vol-1749-paper_006_footnote6>, "6", "http://www.nist.gov/tac/2015/KBP/Event/index.html", "the Event Nugget Detection task at TAC KBP 2015 Event Track ****** aimed at assessing the performance of systems in identifying events and their factual, or realis, value in news (Mitamura et al., 2015);"
<http://ceur-ws.org/footnote/vol-1749-paper_006_footnote7>, "7", "http://alt.qcri.org/semeval2015/task6/", "the 2015 ****** and 2016 SemEval Clinical TempEval tasks required systems to assign the factuality value (i.e. attributed modality and polarity) to the extracted events in clinical notes."
<http://ceur-ws.org/footnote/vol-1749-paper_006_footnote8>, "8", "http://alt.qcri.org/semeval2016/task12/", "the 2015 and 2016 ****** SemEval Clinical TempEval tasks required systems to assign the factuality value (i.e. attributed modality and polarity) to the extracted events in clinical notes."
<http://ceur-ws.org/footnote/vol-1749-paper_006_footnote9>, "9", "https://github.com/timjogorman/RicherEventDescription/blob/master/guidelines.md", "Finally recent work, such as the Richer Event Description annotation initiative, ****** has extended the annotation of factuality on temporal relations between pairs of events or pairs of events and temporal expressions as a specific task, independent from the factuality of the events involved, to represent claims about the certainty of the temporal relations themselves."
<http://ceur-ws.org/footnote/vol-1749-paper_006_footnote10>, "10", "Based on the TimeML specifications (Pustejovsky et al., 2003), the term event is used as a cover term for situations that happen or occur, including predicates describing states or circumstances in which something obtains or holds true.", "Following Tonelli et al. (2014) and Minard et al. (2014), in FactA we represent factuality by means of three attributes associated with events,****** namely certainty, time, and polarity. "
<http://ceur-ws.org/footnote/vol-1749-paper_006_footnote11>, "11", "Detailed instruction are reported in the FactA Annotation Guidelines available at http://facta-evalita2016.fbk.eu/documentation", "The FactA task consisted of taking as input a text in which the textual extent of events is given (i.e. gold standard data) and assign to the events the correct values for the three factuality attributes ****** according to the relevant source."
<http://ceur-ws.org/footnote/vol-1749-paper_006_footnote12>, "12", "The number of tokens for the pilot test is computed after the tokenizaion, i.e. the hashtags and aliases can be split in more than one token and the emoji are composed by several tokens.", "tokens******"
<http://ceur-ws.org/footnote/vol-1749-paper_006_footnote13>, "13", "https://sites.google.com/site/eventievalita2014/home", "This consists of 169 documents selected from the Ita-TimeBank (Caselli et al., 2011) and first released for the EVENTI task at EVALITA 2014.******"
<http://ceur-ws.org/footnote/vol-1749-paper_006_footnote14>, "14", "http://hlt-nlp.fbk.eu/technologies/fact-ita-bank", "Fact-Ita Bank contains annotations for 6,958 events (see Table 2 for more details) and is distributed with a CC-BY-NC license.******"
<http://ceur-ws.org/footnote/vol-1749-paper_006_footnote15>, "15", "http://textpro.fbk.eu", "FactPro is a module of the TextPro NLP pipeline ****** (Pianta et al., 2008)."
