footnote-iri, footnote-marker, footnote-body, sentence-with-footnote
<http://ceur-ws.org/footnote/vol-1116-paper8_footnote3>, "3", "http://www.who.int/medicines/areas/quality_safety/safety_efficacy/pharmvigi/en/", "The topic of the paper is an example of pharmacovigilance which is defined by the World Health Organization as "the science and activities relating to the detection, assessment, understanding and prevention of adverse effects or any other medicine-related problem"******."
<http://ceur-ws.org/footnote/vol-1116-paper8_footnote4>, "4", "See http://www.nsf.gov/bfa/dias/policy/dmp.jsp and http://europa.eu/rapid/press-release_SPEECH-13-236_en.htm", "For example, both the US National Science Foundation and the EU now require data management plans for all proposals they consider.******"
<http://ceur-ws.org/footnote/vol-1116-paper8_footnote5>, "5", "http://www.cs.nott.ac.uk/~mlw/replichi.php", "Note that also in areas that focus on human action, such as in human computer interaction, replication has part of the research agenda******."
<http://ceur-ws.org/footnote/vol-1116-paper8_footnote6>, "6", "See http://www.myexperiment.org", "Workflows can be shared and reused through social platforms such as myExperiment******."
<http://ceur-ws.org/footnote/vol-1116-paper8_footnote7>, "7", "See http://purl.org/net/opmv/ns", "The PROV standard of the W3C [11], based on ten earlier provenance models, such as the Open Proven ance Model****** and the Provenance Vocabulary, provides a standard vocabulary and semantics for expressing plans (workflows), process execution, dependencies between entities and processes, and agent involvement."
<http://ceur-ws.org/footnote/vol-1116-paper8_footnote8>, "8", "See http://purl.org/net/provenance/ns", "The PROV standard of the W3C [11], based on ten earlier provenance models, such as the Open Proven ance Model and the Provenance Vocabulary******, provides a standard vocabulary and semantics for expressing plans (workflows), process execution, dependencies between entities and processes, and agent involvement."
<http://ceur-ws.org/footnote/vol-1116-paper8_footnote9>, "9", "See http://www.w3.org/TR/prov-o/.", "The PROV-O ontology is a vocabulary for expressing PROV as Linked Data.******"
<http://ceur-ws.org/footnote/vol-1116-paper8_footnote10>, "10", "https://sites.google.com/site/provbench/", "The ProvBench repository****** has the objective to bootstrap the development of systems for the visualization, analysis and understanding of provenance graphs."
<http://ceur-ws.org/footnote/vol-1116-paper8_footnote11>, "11", "http://www.meddramsso.com/", "Collecting the adverse event mentions is straightforward because in the FAERS database they are consistently identified with the preferred terms from the Medical Dictionary for Regulatory Activities****** (MedDRA)."
<http://ceur-ws.org/footnote/vol-1116-paper8_footnote12>, "12", "http://www.fda.gov/Drugs/GuidanceComplianceRegulatoryInformation/Surveillance/AdverseDrugEffects/ucm083765.htm", "The website of the FDA contains ZIP files for each yearly quarter******."
<http://ceur-ws.org/footnote/vol-1116-paper8_footnote13>, "13", "The total number of unique report identifiers  in the CSV files from the FDA is computed with a unix bash script: cut -d$ -f1 DEMO0*.TXT | sort -u | wc -l", "We can, however, confirm that the conversion to RDF did not alter the original reports, as the original CSV files combined also contain 2,231,038 unique report identifiers******. "
<http://ceur-ws.org/footnote/vol-1116-paper8_footnote14>, "14", "http://semanticweb.cs.vu.nl/xmlrdf/", "The conversion from CSV to RDF was performed using SWI-Prolog and the RDF conversion toolset******."
<http://ceur-ws.org/footnote/vol-1116-paper8_footnote15>, "15", "http://www.drugbank.ca/", "To get the brand names for a drug we used the Open Data Drug & Drug target Database, Drugbank******."
