footnote-iri, footnote-marker, footnote-body, sentence-with-footnote
<http://ceur-ws.org/footnote/vol-1123-paper4_footnote1>, "1", "We use RFID as a generic terms for all methods of tagged product identification.", "The Electronic Product Code Information Service (EPCIS) is an EPCglobal standard, that aims to bridge the gap between the physical world of RFID****** tagged artifacts, and information systems that enable their tracking and tracing via the Electronic Product Code (EPC)."
<http://ceur-ws.org/footnote/vol-1123-paper4_footnote2>, "2", "http://www.gs1.org/gsmp/kc/epcglobal/tds", "RFID readers deployed at strategic locations on partner premises and transit points can record and register crucial information against the Electronic Product Code (EPC) ****** of items. "
<http://ceur-ws.org/footnote/vol-1123-paper4_footnote3>, "3", "http://www.gs1.org/gsmp/kc/epcglobal/epcis", "The Electronic Product Code Information Service (EPCIS)****** is a ratified EPCglobal standard that provides a set of specifications for the syntactic capture and informal semantic interpretation of EPC based product information as it moves along the supply chain."
<http://ceur-ws.org/footnote/vol-1123-paper4_footnote4>, "4", "http://www.gs1.org/epcglobal", "The Electronic Product Code Information Service (EPCIS) is a ratified EPCglobal****** standard that provides a set of specifications for the syntactic capture and informal semantic interpretation of EPC based product information as it moves along the supply chain."
<http://ceur-ws.org/footnote/vol-1123-paper4_footnote5>, "5", "http://fispace.aston.ac.uk/ontologies/eem#", "In order to enable a more meaningful representation of the event based product lifecycle as it moves along the supply chain and thereby, simplify the process of sharing EPCIS event data among partners, we propose an event model, the EPCIS Event Model (EEM)******, that enables the sharing and semantic interpretation of EPCIS event data."
<http://ceur-ws.org/footnote/vol-1123-paper4_footnote6>, "6", "http://www.gs1.org/gsmp/kc/epcglobal/tds/tds_1_6-RatifiedStd-20110922.pdf", "An Electronic Product Code (EPC) ****** is a universal identifier that gives a unique, serialised identity to a specific physical object."
<http://ceur-ws.org/footnote/vol-1123-paper4_footnote7>, "7", "http://data.press.net/ontology/event/", "The representation of events has been an important aspect of linked datasets emerging from the domain of history [3], multimedia [1], geography [5], journalism ****** and cultural heritage [2]."
<http://ceur-ws.org/footnote/vol-1123-paper4_footnote8>, "8", "http://motools.sourceforge.net/event/event.html", "The Event ontology****** emerged from the need of representing knowledge about events related to music."
<http://ceur-ws.org/footnote/vol-1123-paper4_footnote9>, "9", "http://linkedevents.org/ontology/", "The Linking Open Descriptions of Events (LODE) ****** [8] ontology is similar in spirit to the EEM in that it focuses on the four factual aspects of an event."
<http://ceur-ws.org/footnote/vol-1123-paper4_footnote10>, "10", "http://www.cidoc-crm.org/rdfs/cidoc_crm_v5.0.4_official_release.rdfs", "An extensive information model, the CIDOC-CRM****** is an ontology for representing cultural heritage information."
<http://ceur-ws.org/footnote/vol-1123-paper4_footnote11>, "11", "http://semanticweb.cs.vu.nl/2009/11/sem/", "The Simple Event Model (SEM)******, with weak semantics and requirements drawn from the domain of history and maritime security and safety is presented in [10]."
<http://ceur-ws.org/footnote/vol-1123-paper4_footnote12>, "12", "http://www.interdatanet.org/", "In [9] the authors propose to use the InterDataNet (IDN) ****** framework for the sharing of EPCIS data."
<http://ceur-ws.org/footnote/vol-1123-paper4_footnote13>, "13", "http://www.gs1.org/gsmp/kc/epcglobal/tds/tds_1_6-RatifiedStd-20110922.pdf", "Formats for the URIs have been prescribed in the GS1 EPC Tag Data Standard ****** for identifying the EPCs."
<http://ceur-ws.org/footnote/vol-1123-paper4_footnote14>, "14", "http://purl.org/co/. We specialise from a Set rather than a List to avoid duplicates", "The list of EPCs is represented by SetOfEPCs, specialising from Set******."
<http://ceur-ws.org/footnote/vol-1123-paper4_footnote15>, "15", "The interested reader is referred to the EPCIS standard for details.", "The set of actions ****** associated with an event are asserted with the individuals ADD, OBSERVE and DELETE."
<http://ceur-ws.org/footnote/vol-1123-paper4_footnote16>, "16", "http://www.w3.org/2006/vcard/ns#", "The BusinessLocation and ReadPointLocation classes capture physical location details and specialise from the Location class defined in the vcard ****** vocabulary."
<http://ceur-ws.org/footnote/vol-1123-paper4_footnote17>, "17", "http://www.gs1.org/gsmp/kc/epcglobal/cbv", "A companion standard to the EPCIS standard is the Core Business Vocabulary(CBV)****** standard."
<http://ceur-ws.org/footnote/vol-1123-paper4_footnote18>, "18", "http://fispace.aston.ac.uk/ontologies/cbv#", "We provide ontological representation ****** of the vocabulary definitions as individual assertions to be used along with the EEM model."
<http://ceur-ws.org/footnote/vol-1123-paper4_footnote19>, "19", "http://code.google.com/p/linked-epcis/", "In order to encourage the uptake of EEM among EPCIS conforming organisations and industries, ease the creation of EEM instances and facilitate querying over the instantiated datasets, we present an open source API - LinkedEPCIS******."
<http://ceur-ws.org/footnote/vol-1123-paper4_footnote20>, "20", "http://openrdf.org", "It has been built over the Sesame framework******."
