footnote-iri, footnote-marker, footnote-body, sentence-with-footnote
<http://ceur-ws.org/footnote/vol-1123-paper5_footnote5>, "5", "Mapping Online Networks of Activism", "The MONA****** project is an interdisciplinary social/computer science effort which aims at producing a visual analytics suite for efficiently making sense of large amounts of activist events."
<http://ceur-ws.org/footnote/vol-1123-paper5_footnote6>, "6", "http://nokogiri.org/", "We use the Nokogiri****** XML-parser to find time and meta tags in the HTML."
<http://ceur-ws.org/footnote/vol-1123-paper5_footnote7>, "7", "http://www.alchemyapi.com/", "Next, we use AlchemyAPI’s****** author extraction service on the raw HTML to identify the article's author, which enables us to attribute the extracted events."
<http://ceur-ws.org/footnote/vol-1123-paper5_footnote8>, "8", "nlp.stanford.edu/software/tokenizer.shtml", "The article's text is split into sentences and words using Stanford’s sentence splitter and word tokenizer******."
<http://ceur-ws.org/footnote/vol-1123-paper5_footnote9>, "9", "http://www.textrazor.com/", "We complement Stanford’s named entity recognizer with TextRazor’s****** API to disambiguate found named entities to a single canonical entity in an external data source such as DBpedia."
<http://ceur-ws.org/footnote/vol-1123-paper5_footnote10>, "10", "http://www.neo4j.org/", "The output of the preprocessing, metadata extraction, processing, normalization, and disambiguation steps is stored in a Neo4j****** graph database."
<http://ceur-ws.org/footnote/vol-1123-paper5_footnote11>, "11", "http://github.com/louismullie/stanfordcore-nlp", "We have also used several existing Ruby gems for various supporting tasks: A Ruby wrapper****** for Stanford’s NLP tools, HTTParty for Web API wrappers, Chronic for date parsing, and Neography for interacting with Neo4j."
<http://ceur-ws.org/footnote/vol-1123-paper5_footnote12>, "12", "http://github.com/jnunemaker/httparty", "We have also used several existing Ruby gems for various supporting tasks: A Ruby wrapper for Stanford’s NLP tools, HTTParty****** for Web API wrappers, Chronic for date parsing, and Neography for interacting with Neo4j."
<http://ceur-ws.org/footnote/vol-1123-paper5_footnote13>, "13", "http://github.com/mojombo/chronic", "We have also used several existing Ruby gems for various supporting tasks: A Ruby wrapper for Stanford’s NLP tools, HTTParty for Web API wrappers, Chronic****** for date parsing, and Neography for interacting with Neo4j."
<http://ceur-ws.org/footnote/vol-1123-paper5_footnote14>, "14", "http://github.com/maxdemarzi/neography", "We have also used several existing Ruby gems for various supporting tasks: A Ruby wrapper for Stanford’s NLP tools, HTTParty for Web API wrappers, Chronic for date parsing, and Neography****** for interacting with Neo4j."
<http://ceur-ws.org/footnote/vol-1123-paper5_footnote15>, "15", "http://www.nytimes.com/", "The majority of articles are from The New York Times****** (70%) and the Guardian (15%), the rest from similar news websites."
<http://ceur-ws.org/footnote/vol-1123-paper5_footnote16>, "16", "http://www.guardian.co.uk/", "The majority of articles are from The New York Times (70%) and the Guardian****** (15%), the rest from similar news websites."
<http://ceur-ws.org/footnote/vol-1123-paper5_footnote17>, "17", "http://brat.nlplab.org/", "The Brat rapid annotation tool****** was used by the experts for annotation."
