affiliation-iri, affiliation-fullname, author-iri, author-fullname
<http://ceur-ws.org/affiliation/institute-for-computer-science-and-control-hungarian-academy-of-sciences-mta-sztaki>, "Institute for Computer Science and Control, Hungarian Academy of Sciences (MTA SZTAKI)", <http://ceur-ws.org/author/robert-palovics>, "Róbert Pálovics"
<http://ceur-ws.org/affiliation/technical-university-budapest>, "Technical University Budapest", <http://ceur-ws.org/author/robert-palovics>, "Róbert Pálovics"
<http://ceur-ws.org/affiliation/institute-for-computer-science-and-control-hungarian-academy-of-sciences-mta-sztaki>, "Institute for Computer Science and Control, Hungarian Academy of Sciences (MTA SZTAKI)", <http://ceur-ws.org/author/peter-szalai>, "Péter Szalai"
<http://ceur-ws.org/affiliation/technical-university-budapest>, "Technical University Budapest", <http://ceur-ws.org/author/peter-szalai>, "Péter Szalai"
<http://ceur-ws.org/affiliation/institute-for-computer-science-and-control-hungarian-academy-of-sciences-mta-sztaki>, "Institute for Computer Science and Control, Hungarian Academy of Sciences (MTA SZTAKI)", <http://ceur-ws.org/author/levente-kocsis>, "Levente Kocsis"
<http://ceur-ws.org/affiliation/university-of-szeged>, "University of Szeged", <http://ceur-ws.org/author/levente-kocsis>, "Levente Kocsis"
<http://ceur-ws.org/affiliation/institute-for-computer-science-and-control-hungarian-academy-of-sciences-mta-sztaki>, "Institute for Computer Science and Control, Hungarian Academy of Sciences (MTA SZTAKI)", <http://ceur-ws.org/author/julia-pap>, "Júlia Pap"
<http://ceur-ws.org/affiliation/institute-for-computer-science-and-control-hungarian-academy-of-sciences-mta-sztaki>, "Institute for Computer Science and Control, Hungarian Academy of Sciences (MTA SZTAKI)", <http://ceur-ws.org/author/erzsebet-frigo>, "Erzsébet Frigó"
<http://ceur-ws.org/affiliation/eotvos-university-budapest>, "Eötvös University Budapest", <http://ceur-ws.org/author/erzsebet-frigo>, "Erzsébet Frigó"
<http://ceur-ws.org/affiliation/institute-for-computer-science-and-control-hungarian-academy-of-sciences-mta-sztaki>, "Institute for Computer Science and Control, Hungarian Academy of Sciences (MTA SZTAKI)", <http://ceur-ws.org/author/andras-a-benczur>, "András A. Benczúr"
<http://ceur-ws.org/affiliation/eotvos-university-budapest>, "Eötvös University Budapest", <http://ceur-ws.org/author/andras-a-benczur>, "András A. Benczúr"
