section-iri, section-number, section-title
<http://ceur-ws.org/section/vol-1320-paper_22_sec1>, "1"^^xsd:integer, "Introduction"
<http://ceur-ws.org/section/vol-1320-paper_22_sec2>, "2"^^xsd:integer, "Backgrounds"
<http://ceur-ws.org/section/vol-1320-paper_22_sec3>, "3"^^xsd:integer, "Material and Methods"
<http://ceur-ws.org/section/vol-1320-paper_22_sec4>, "4"^^xsd:integer, "Results"
<http://ceur-ws.org/section/vol-1320-paper_22_sec5>, "5"^^xsd:integer, "Discussion"
<http://ceur-ws.org/section/vol-1320-paper_22_sec6>, "6"^^xsd:integer, "Conclusion"
<http://ceur-ws.org/section/vol-1320-paper_22_sec7>, "7"^^xsd:integer, "Authors’ contributions"
<http://ceur-ws.org/section/vol-1320-paper_22_sec8>, "8"^^xsd:integer, "Acknowledgements"
<http://ceur-ws.org/section/vol-1320-paper_22_sec9>, "9"^^xsd:integer, "Conflict of Interest"
<http://ceur-ws.org/section/vol-1320-paper_22_sec10>, "10"^^xsd:integer, "References"
